model,accuracy,log_loss,brier
BASE,0.6491228070175439,0.6571847770230538,0.2323706736798175
HFA,0.5754385964912281,0.6588850634977348,0.23350562096003785
MOV,0.6175438596491228,0.6388421919340184,0.22443383516138085
MOV_HFA,0.6280701754385964,0.6402762465159428,0.2255088240087312
MOV_HFA_k10_hfa20,0.6421052631578947,0.6515761988659863,0.22982693373977853
MOV_HFA_k10_hfa35,0.6140350877192983,0.6520817912857058,0.23018168614606305
MOV_HFA_k10_hfa50,0.5754385964912281,0.6544688174874149,0.2314874219863548
MOV_HFA_k10_hfa65,0.5859649122807018,0.6587162730195079,0.23371054408339675
MOV_HFA_k10_hfa80,0.5614035087719298,0.664796007286437,0.23680498622681342
MOV_HFA_k15_hfa20,0.6491228070175439,0.6420387826623062,0.22564851156308866
MOV_HFA_k15_hfa35,0.631578947368421,0.6424905297318423,0.22598149365863462
MOV_HFA_k15_hfa50,0.6070175438596491,0.6448262100869716,0.2272468589970968
MOV_HFA_k15_hfa65,0.5894736842105263,0.6490240245542176,0.229412466758245
MOV_HFA_k15_hfa80,0.5789473684210527,0.6550546326787045,0.2324338580810969
MOV_HFA_k20_hfa20,0.656140350877193,0.6364162154673271,0.22339863121784848
MOV_HFA_k20_hfa35,0.631578947368421,0.6368146981257707,0.22370081302867728
MOV_HFA_k20_hfa50,0.6385964912280702,0.6390992809317143,0.22490945905392526
MOV_HFA_k20_hfa65,0.6105263157894737,0.6432472154478655,0.2269937966239691
MOV_HFA_k20_hfa80,0.5894736842105263,0.6492277402817712,0.22991084435232556
MOV_HFA_k25_hfa20,0.6596491228070176,0.6335505779218664,0.22240412950541674
MOV_HFA_k25_hfa35,0.6526315789473685,0.6338999919240996,0.2226753658745655
MOV_HFA_k25_hfa50,0.6350877192982456,0.6361393754506249,0.22382538302191973
MOV_HFA_k25_hfa65,0.624561403508772,0.6402449874053555,0.2258246382896794
MOV_HFA_k25_hfa80,0.6105263157894737,0.6461845454725291,0.22863142140456014
MOV_HFA_k30_hfa20,0.6596491228070176,0.6327092228236539,0.2222551048862081
MOV_HFA_k30_hfa35,0.6491228070175439,0.6330131337961481,0.22249789971699552
MOV_HFA_k30_hfa50,0.6385964912280702,0.6352129721924777,0.2235921766397583
MOV_HFA_k30_hfa65,0.631578947368421,0.6392840492366194,0.2255095657305016
MOV_HFA_k30_hfa80,0.6035087719298246,0.645192570926828,0.22820952675925954
k30_elev0.5,0.6526315789473685,0.6475698397505772,0.22798694172178183
